,date_creation,count
859,2017-01-01,349
860,2017-01-01,349
861,2017-01-01,349
862,2017-01-01,349
863,2017-01-01,349
864,2017-01-01,349
865,2017-01-01,349
866,2017-01-01,349
867,2017-01-01,349
868,2017-01-01,349
869,2017-01-01,349
870,2017-01-01,349
871,2017-01-01,349
872,2017-01-01,349
873,2017-01-01,349
874,2017-01-01,349
875,2017-01-01,349
876,2017-01-01,349
877,2017-01-01,349
878,2017-01-01,349
879,2017-01-01,349
880,2017-01-01,349
881,2017-01-01,349
882,2017-01-01,349
883,2017-01-01,349
884,2017-01-01,349
885,2017-01-01,349
886,2017-01-01,349
887,2017-01-01,349
888,2017-01-01,349
889,2017-01-01,349
890,2017-01-01,349
891,2017-01-01,349
892,2017-01-01,349
893,2017-01-01,349
894,2017-01-01,349
895,2017-01-01,349
896,2017-01-01,349
897,2017-01-01,349
898,2017-01-01,349
899,2017-01-01,349
900,2017-01-01,349
901,2017-01-01,349
902,2017-01-01,349
903,2017-01-01,349
904,2017-01-01,349
905,2017-01-01,349
906,2017-01-01,349
907,2017-01-01,349
908,2017-01-01,349
909,2017-01-01,349
910,2017-01-01,349
911,2017-01-01,349
912,2017-01-01,349
913,2017-01-01,349
914,2017-01-01,349
915,2017-01-01,349
916,2017-01-01,349
917,2017-01-01,349
918,2017-01-01,349
919,2017-01-01,349
920,2017-01-01,349
921,2017-01-01,349
922,2016-01-01,27
923,2017-01-01,349
924,2017-01-01,349
925,2017-01-01,349
926,2017-01-01,349
927,2017-01-01,349
928,2017-01-01,349
929,2017-01-01,349
930,2017-01-01,349
931,2017-01-01,349
932,2017-01-01,349
933,2017-01-01,349
934,2017-01-01,349
935,2017-01-01,349
936,2017-01-01,349
937,2017-01-01,349
938,2017-01-01,349
939,2017-01-01,349
940,2017-01-01,349
941,2017-01-01,349
942,2017-01-01,349
943,2017-01-01,349
944,2017-01-01,349
945,2017-01-01,349
946,2016-01-01,27
947,2017-01-01,349
948,2017-01-01,349
949,2017-01-01,349
950,2017-01-01,349
